Index,Symbol,Strike Price,Premium,Profit %,Delta,Expiration Date,Days to Expiration,Earnings Date,Earnings During Option,Days to Earnings
70,NKE,155.00,3.50,2.26,0.25,2026-02-08,30,2026-02-08,YES,30
71,NKE,160.00,2.80,1.75,0.20,2026-02-08,30,2026-02-08,YES,30
72,NKE,165.00,2.10,1.27,0.15,2026-02-08,30,2026-02-08,YES,30
73,NVDA,155.00,3.50,2.26,0.25,2026-02-08,30,2026-01-19,YES,10
74,NVDA,160.00,2.80,1.75,0.20,2026-02-08,30,2026-01-19,YES,10
75,NVDA,165.00,2.10,1.27,0.15,2026-02-08,30,2026-01-19,YES,10
76,NVO,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
77,NVO,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
78,NVO,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
79,PANW,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
80,PANW,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
81,PANW,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
82,PEP,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
83,PEP,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
84,PEP,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
85,PLTR,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
86,PLTR,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
87,PLTR,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
88,QCOM,155.00,3.50,2.26,0.25,2026-02-08,30,2026-02-02,YES,24
89,QCOM,160.00,2.80,1.75,0.20,2026-02-08,30,2026-02-02,YES,24
90,QCOM,165.00,2.10,1.27,0.15,2026-02-08,30,2026-02-02,YES,24
91,SLV,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
92,SLV,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
93,SLV,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
94,UBER,155.00,3.50,2.26,0.25,2026-02-08,30,2026-02-06,YES,28
95,UBER,160.00,2.80,1.75,0.20,2026-02-08,30,2026-02-06,YES,28
96,UBER,165.00,2.10,1.27,0.15,2026-02-08,30,2026-02-06,YES,28
97,VRT,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
98,VRT,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
99,VRT,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
100,XOM,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
101,XOM,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
102,XOM,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
